id,test_type,component_name,file_name,file_size,false_rate,total_nb_of_tested,ers_score,control_attempts,errors_functions,errors_variables,errors_calls
k2.memory_safety.10_50_100.1,k2,memory_safety,10_50_100,50_100,0.0,8,0.9546,1,,,
k2.memory_safety.10_50_100.2,k2,memory_safety,10_50_100,50_100,0.071,14,0.9232,1,,pcVar1,
k2.memory_safety.10_50_100.3,k2,memory_safety,10_50_100,50_100,0.143,14,0.8794,1,,pcVar1|pcVar1,
k2.memory_safety.11_100_200.1,k2,memory_safety,11_100_200,100_200,,,,,,,
k2.memory_safety.11_100_200.2,k2,memory_safety,11_100_200,100_200,,,,,,,
k2.memory_safety.11_100_200.3,k2,memory_safety,11_100_200,100_200,0.032,31,0.9559,1,,local_870,
k2.memory_safety.12_100_200.1,k2,memory_safety,12_100_200,100_200,0.136,22,0.8786,1,,pcStack_38|local_40|local_30,
k2.memory_safety.12_100_200.2,k2,memory_safety,12_100_200,100_200,0.0,24,0.9766,1,,,
k2.memory_safety.12_100_200.3,k2,memory_safety,12_100_200,100_200,0.0,22,0.9751,1,,,
k2.memory_safety.13_100_200.1,k2,memory_safety,13_100_200,100_200,0.0,0,0.9142,1,,,
k2.memory_safety.13_100_200.2,k2,memory_safety,13_100_200,100_200,0.0,0,0.9142,1,,,
k2.memory_safety.13_100_200.3,k2,memory_safety,13_100_200,100_200,0.25,4,0.8637,1,,local_30,
k2.memory_safety.14_100_200.1,k2,memory_safety,14_100_200,100_200,0.143,35,0.8687,1,,local_5a0|local_5a8|param_2,local_5a0 = *|local_5a8 = *
k2.memory_safety.14_100_200.2,k2,memory_safety,14_100_200,100_200,0.08,25,0.9185,1,,local_5a0|local_5a8,
k2.memory_safety.14_100_200.3,k2,memory_safety,14_100_200,100_200,0.147,34,0.8658,1,,param_2|local_5a0|local_5a8|local_5a0|local_5a8,
k2.memory_safety.15_100_200.1,k2,memory_safety,15_100_200,100_200,0.048,21,0.9407,1,,local_388,
k2.memory_safety.15_100_200.2,k2,memory_safety,15_100_200,100_200,0.091,11,0.9113,1,,local_388,
k2.memory_safety.15_100_200.3,k2,memory_safety,15_100_200,100_200,0.04,25,0.9479,1,,local_388,
k2.memory_safety.16_200_300.1,k2,memory_safety,16_200_300,200_300,0.0,20,0.9734,1,,,
k2.memory_safety.16_200_300.2,k2,memory_safety,16_200_300,200_300,0.0,17,0.9703,1,,,
k2.memory_safety.16_200_300.3,k2,memory_safety,16_200_300,200_300,0.0,13,0.9649,1,,,
k2.memory_safety.17_200_300.1,k2,memory_safety,17_200_300,200_300,0.0,12,0.9632,1,,,
k2.memory_safety.17_200_300.2,k2,memory_safety,17_200_300,200_300,0.0,28,0.9791,1,,,
k2.memory_safety.17_200_300.3,k2,memory_safety,17_200_300,200_300,0.0,14,0.9664,1,,,
k2.memory_safety.18_200_300.1,k2,memory_safety,18_200_300,200_300,0.0,12,0.9632,1,,,
k2.memory_safety.18_200_300.2,k2,memory_safety,18_200_300,200_300,0.0,10,0.9594,1,,,
k2.memory_safety.18_200_300.3,k2,memory_safety,18_200_300,200_300,0.0,10,0.9594,1,,,
k2.memory_safety.19_200_300.1,k2,memory_safety,19_200_300,200_300,0.0,19,0.9724,1,,,
k2.memory_safety.19_200_300.2,k2,memory_safety,19_200_300,200_300,0.0,16,0.9691,1,,,
k2.memory_safety.19_200_300.3,k2,memory_safety,19_200_300,200_300,0.0,12,0.9632,1,,,
k2.memory_safety.1_0_50.1,k2,memory_safety,1_0_50,0_50,0.0,5,0.9448,1,,,
k2.memory_safety.1_0_50.2,k2,memory_safety,1_0_50,0_50,0.0,3,0.9356,1,,,
k2.memory_safety.1_0_50.3,k2,memory_safety,1_0_50,0_50,0.0,7,0.9517,1,,,
k2.memory_safety.20_200_300.1,k2,memory_safety,20_200_300,200_300,0.087,23,0.9133,1,,,*|*
k2.memory_safety.20_200_300.2,k2,memory_safety,20_200_300,200_300,0.0,9,0.9571,1,,,
k2.memory_safety.20_200_300.3,k2,memory_safety,20_200_300,200_300,0.0,15,0.9678,1,,,
k2.memory_safety.21_300_400.1,k2,memory_safety,21_300_400,300_400,0.086,35,0.914,1,,local_200|local_1d0|local_200,
k2.memory_safety.21_300_400.2,k2,memory_safety,21_300_400,300_400,0.167,36,0.8492,1,,local_1d0|local_200|local_200|local_1d0,*|*
k2.memory_safety.21_300_400.3,k2,memory_safety,21_300_400,300_400,0.085,47,0.9149,1,,local_1d0|local_200|local_1d0|local_200,
k2.memory_safety.22_300_400.1,k2,memory_safety,22_300_400,300_400,0.143,14,0.8794,1,,local_190|local_1a0,
k2.memory_safety.22_300_400.2,k2,memory_safety,22_300_400,300_400,0.051,39,0.9425,1,,local_190|local_1a0,
k2.memory_safety.22_300_400.3,k2,memory_safety,22_300_400,300_400,0.068,73,0.93,1,,local_190|local_1a0|local_148|local_190|local_1a0,
k2.memory_safety.23_300_400.1,k2,memory_safety,23_300_400,300_400,0.07,86,0.9285,1,,local_198|local_1a0|local_1b0|local_1a0|local_1b0|local_198,
k2.memory_safety.23_300_400.2,k2,memory_safety,23_300_400,300_400,0.103,29,0.9011,1,,local_198|local_1a0|local_1b0,
k2.memory_safety.23_300_400.3,k2,memory_safety,23_300_400,300_400,0.12,50,0.8852,1,,local_198|local_1a0|local_1b0,if|if|if
k2.memory_safety.24_300_400.1,k2,memory_safety,24_300_400,300_400,0.0,71,0.9903,1,,,
k2.memory_safety.24_300_400.2,k2,memory_safety,24_300_400,300_400,0.0,102,0.993,1,,,
k2.memory_safety.24_300_400.3,k2,memory_safety,24_300_400,300_400,0.167,12,0.8678,1,,param_2|pvVar1,
k2.memory_safety.25_300_400.1,k2,memory_safety,25_300_400,300_400,0.111,18,0.8974,1,,local_e8|local_f0,
k2.memory_safety.25_300_400.2,k2,memory_safety,25_300_400,300_400,0.028,72,0.9656,1,,local_e8|local_f0,
k2.memory_safety.25_300_400.3,k2,memory_safety,25_300_400,300_400,0.058,104,0.9398,1,,local_e8|local_f0|local_e8|local_f0,*|*
k2.memory_safety.2_0_50.1,k2,memory_safety,2_0_50,0_50,0.0,0,0.9142,1,,,
k2.memory_safety.2_0_50.2,k2,memory_safety,2_0_50,0_50,0.0,0,0.9142,1,,,
k2.memory_safety.2_0_50.3,k2,memory_safety,2_0_50,0_50,0.0,0,0.9142,1,,,
k2.memory_safety.3_0_50.1,k2,memory_safety,3_0_50,0_50,0.0,3,0.9356,1,,,
k2.memory_safety.3_0_50.2,k2,memory_safety,3_0_50,0_50,0.0,3,0.9356,1,,,
k2.memory_safety.3_0_50.3,k2,memory_safety,3_0_50,0_50,0.0,0,0.9142,1,,,
k2.memory_safety.4_0_50.1,k2,memory_safety,4_0_50,0_50,0.333,3,0.8524,1,,pvVar1,
k2.memory_safety.4_0_50.2,k2,memory_safety,4_0_50,0_50,0.333,3,0.8524,1,,pvVar1,
k2.memory_safety.4_0_50.3,k2,memory_safety,4_0_50,0_50,0.222,9,0.8461,1,,pvVar1|pvVar1,
k2.memory_safety.5_0_50.1,k2,memory_safety,5_0_50,0_50,0.0,5,0.9448,1,,,
k2.memory_safety.5_0_50.2,k2,memory_safety,5_0_50,0_50,0.0,0,0.9142,1,,,
k2.memory_safety.5_0_50.3,k2,memory_safety,5_0_50,0_50,0.0,4,0.9406,1,,,
k2.memory_safety.6_50_100.1,k2,memory_safety,6_50_100,50_100,0.214,28,0.8172,1,,local_88|local_88|local_88|pvVar2|pvVar2,local_88 = *
k2.memory_safety.6_50_100.2,k2,memory_safety,6_50_100,50_100,0.333,27,0.7288,1,,local_88|param_2|local_88|pvVar2|pvVar2|pvVar2|local_88|param_2|local_88,
k2.memory_safety.6_50_100.3,k2,memory_safety,6_50_100,50_100,0.143,14,0.8794,1,,local_88|pvVar2,
k2.memory_safety.7_50_100.1,k2,memory_safety,7_50_100,50_100,0.0,0,0.9142,1,,,
k2.memory_safety.7_50_100.2,k2,memory_safety,7_50_100,50_100,0.222,18,0.8234,1,,pvVar2|local_30|local_50|pvVar2,
k2.memory_safety.7_50_100.3,k2,memory_safety,7_50_100,50_100,0.333,6,0.8153,1,,local_30|local_50,
k2.memory_safety.8_50_100.1,k2,memory_safety,8_50_100,50_100,0.0,8,0.9546,1,,,
k2.memory_safety.8_50_100.2,k2,memory_safety,8_50_100,50_100,0.0,5,0.9448,1,,,
k2.memory_safety.8_50_100.3,k2,memory_safety,8_50_100,50_100,0.2,15,0.8428,1,,pvVar3,*|*
k2.memory_safety.9_50_100.1,k2,memory_safety,9_50_100,50_100,0.174,23,0.8508,1,,local_a8|local_a8|local_58|local_20,
k2.memory_safety.9_50_100.2,k2,memory_safety,9_50_100,50_100,0.19,21,0.8413,1,,local_a8|local_58|local_20|local_a8,
k2.memory_safety.9_50_100.3,k2,memory_safety,9_50_100,50_100,0.2,15,0.8428,1,,local_a8|local_58|local_20,
k2.rename.10_50_100.1,k2,rename,10_50_100,50_100,0.0,4,0.9406,1,,,
k2.rename.10_50_100.2,k2,rename,10_50_100,50_100,0.0,4,0.9406,1,,,
k2.rename.10_50_100.3,k2,rename,10_50_100,50_100,0.0,4,0.9406,1,,,
k2.rename.11_100_200.1,k2,rename,11_100_200,100_200,0.0,15,0.9678,1,,,
k2.rename.11_100_200.2,k2,rename,11_100_200,100_200,0.062,16,0.9294,1,,local_870,
k2.rename.11_100_200.3,k2,rename,11_100_200,100_200,0.062,16,0.9294,1,,local_870,
k2.rename.12_100_200.1,k2,rename,12_100_200,100_200,0.0,15,0.9678,1,,,
k2.rename.12_100_200.2,k2,rename,12_100_200,100_200,0.167,18,0.8601,1,,pcStack_38|local_40|local_30,
k2.rename.12_100_200.3,k2,rename,12_100_200,100_200,0.167,18,0.8601,1,,pcStack_38|local_40|local_30,
k2.rename.13_100_200.1,k2,rename,13_100_200,100_200,0.0,4,0.9406,1,,,
k2.rename.13_100_200.2,k2,rename,13_100_200,100_200,0.0,4,0.9406,1,,,
k2.rename.13_100_200.3,k2,rename,13_100_200,100_200,0.0,4,0.9406,1,,,
k2.rename.14_100_200.1,k2,rename,14_100_200,100_200,0.143,14,0.8794,1,,local_5a8|local_5a0,
k2.rename.14_100_200.2,k2,rename,14_100_200,100_200,0.154,13,0.8739,1,,local_5a8|local_5a0,
k2.rename.14_100_200.3,k2,rename,14_100_200,100_200,0.143,14,0.8794,1,,local_5a8|local_5a0,
k2.rename.15_100_200.1,k2,rename,15_100_200,100_200,0.0,11,0.9614,1,,,
k2.rename.15_100_200.2,k2,rename,15_100_200,100_200,,,,,,,
k2.rename.15_100_200.3,k2,rename,15_100_200,100_200,0.0,11,0.9614,1,,,
k2.rename.16_200_300.1,k2,rename,16_200_300,200_300,0.0,9,0.9571,1,,,
k2.rename.16_200_300.2,k2,rename,16_200_300,200_300,0.0,9,0.9571,1,,,
k2.rename.16_200_300.3,k2,rename,16_200_300,200_300,0.0,9,0.9571,1,,,
k2.rename.17_200_300.1,k2,rename,17_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.17_200_300.2,k2,rename,17_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.17_200_300.3,k2,rename,17_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.18_200_300.1,k2,rename,18_200_300,200_300,0.0,10,0.9594,1,,,
k2.rename.18_200_300.2,k2,rename,18_200_300,200_300,0.0,7,0.9517,1,,,
k2.rename.18_200_300.3,k2,rename,18_200_300,200_300,0.0,7,0.9517,1,,,
k2.rename.19_200_300.1,k2,rename,19_200_300,200_300,0.0,5,0.9448,1,,,
k2.rename.19_200_300.2,k2,rename,19_200_300,200_300,0.0,5,0.9448,1,,,
k2.rename.19_200_300.3,k2,rename,19_200_300,200_300,0.0,5,0.9448,1,,,
k2.rename.1_0_50.1,k2,rename,1_0_50,0_50,0.0,3,0.9356,1,,,
k2.rename.1_0_50.2,k2,rename,1_0_50,0_50,0.0,3,0.9356,1,,,
k2.rename.1_0_50.3,k2,rename,1_0_50,0_50,0.0,3,0.9356,1,,,
k2.rename.20_200_300.1,k2,rename,20_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.20_200_300.2,k2,rename,20_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.20_200_300.3,k2,rename,20_200_300,200_300,0.0,8,0.9546,1,,,
k2.rename.21_300_400.1,k2,rename,21_300_400,300_400,0.095,21,0.9078,1,,local_200|local_1d0,
k2.rename.21_300_400.2,k2,rename,21_300_400,300_400,0.095,21,0.9078,1,,local_200|local_1d0,
k2.rename.21_300_400.3,k2,rename,21_300_400,300_400,,,,,,,
k2.rename.22_300_400.1,k2,rename,22_300_400,300_400,0.0,11,0.9614,1,,,
k2.rename.22_300_400.2,k2,rename,22_300_400,300_400,0.286,14,0.7923,1,,local_148|local_190|local_1a0|local_1a8,
k2.rename.22_300_400.3,k2,rename,22_300_400,300_400,,,,,,,
k2.rename.23_300_400.1,k2,rename,23_300_400,300_400,0.0,7,0.9517,1,,,
k2.rename.23_300_400.2,k2,rename,23_300_400,300_400,0.0,7,0.9517,1,,,
k2.rename.23_300_400.3,k2,rename,23_300_400,300_400,0.0,7,0.9517,1,,,
k2.rename.24_300_400.1,k2,rename,24_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.24_300_400.2,k2,rename,24_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.24_300_400.3,k2,rename,24_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.25_300_400.1,k2,rename,25_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.25_300_400.2,k2,rename,25_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.25_300_400.3,k2,rename,25_300_400,300_400,0.0,3,0.9356,1,,,
k2.rename.2_0_50.1,k2,rename,2_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.2_0_50.2,k2,rename,2_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.2_0_50.3,k2,rename,2_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.3_0_50.1,k2,rename,3_0_50,0_50,0.0,6,0.9485,1,,,
k2.rename.3_0_50.2,k2,rename,3_0_50,0_50,0.0,6,0.9485,1,,,
k2.rename.3_0_50.3,k2,rename,3_0_50,0_50,0.0,6,0.9485,1,,,
k2.rename.4_0_50.1,k2,rename,4_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.4_0_50.2,k2,rename,4_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.4_0_50.3,k2,rename,4_0_50,0_50,0.0,1,0.9228,1,,,
k2.rename.5_0_50.1,k2,rename,5_0_50,0_50,0.0,6,0.9485,1,,,
k2.rename.5_0_50.2,k2,rename,5_0_50,0_50,0.0,6,0.9485,1,,,
k2.rename.5_0_50.3,k2,rename,5_0_50,0_50,0.0,5,0.9448,1,,,
k2.rename.6_50_100.1,k2,rename,6_50_100,50_100,0.0,7,0.9517,1,,,
k2.rename.6_50_100.2,k2,rename,6_50_100,50_100,0.0,7,0.9517,1,,,
k2.rename.6_50_100.3,k2,rename,6_50_100,50_100,0.0,7,0.9517,1,,,
k2.rename.7_50_100.1,k2,rename,7_50_100,50_100,0.0,5,0.9448,1,,,
k2.rename.7_50_100.2,k2,rename,7_50_100,50_100,0.0,5,0.9448,1,,,
k2.rename.7_50_100.3,k2,rename,7_50_100,50_100,0.0,5,0.9448,1,,,
k2.rename.8_50_100.1,k2,rename,8_50_100,50_100,0.1,10,0.9067,1,,pvVar3,
k2.rename.8_50_100.2,k2,rename,8_50_100,50_100,0.167,6,0.8817,1,,pvVar3,
k2.rename.8_50_100.3,k2,rename,8_50_100,50_100,0.1,10,0.9067,1,,pvVar3,
k2.rename.9_50_100.1,k2,rename,9_50_100,50_100,0.0,4,0.9406,1,,,
k2.rename.9_50_100.2,k2,rename,9_50_100,50_100,0.0,4,0.9406,1,,,
k2.rename.9_50_100.3,k2,rename,9_50_100,50_100,0.0,4,0.9406,1,,,
k2_controller.crypto.10_50_100.1,k2_controller,crypto,10_50_100,50_100,0.0,5,0.9448,3,,,
k2_controller.crypto.10_50_100.2,k2_controller,crypto,10_50_100,50_100,0.5,4,0.7868,3,,pcVar1|0x5c,
k2_controller.crypto.10_50_100.3,k2_controller,crypto,10_50_100,50_100,0.3,10,0.8015,3,,0x5c|pcVar1|pcVar1,
k2_controller.crypto.11_100_200.1,k2_controller,crypto,11_100_200,100_200,0.0,14,0.9664,2,,,
k2_controller.crypto.11_100_200.2,k2_controller,crypto,11_100_200,100_200,0.05,20,0.9389,3,,local_870,
k2_controller.crypto.11_100_200.3,k2_controller,crypto,11_100_200,100_200,0.0,22,0.9751,2,,,
k2_controller.crypto.12_100_200.1,k2_controller,crypto,12_100_200,100_200,0.0,21,0.9743,2,,,
k2_controller.crypto.12_100_200.2,k2_controller,crypto,12_100_200,100_200,0.0,16,0.9691,2,,,
k2_controller.crypto.12_100_200.3,k2_controller,crypto,12_100_200,100_200,0.0,18,0.9714,2,,,
k2_controller.crypto.13_100_200.1,k2_controller,crypto,13_100_200,100_200,0.538,13,0.647,3,,local_30[0]|local_30[1]|local_30[2]|local_30[0]|local_30[0]|local_30[1]|local_30[2],
k2_controller.crypto.13_100_200.2,k2_controller,crypto,13_100_200,100_200,0.333,9,0.7906,3,,local_30[0]|local_30[1]|local_30[2],
k2_controller.crypto.13_100_200.3,k2_controller,crypto,13_100_200,100_200,0.5,6,0.7485,3,,local_30[1]|local_30[0]|local_30[2],
k2_controller.crypto.14_100_200.1,k2_controller,crypto,14_100_200,100_200,0.133,15,0.8847,3,,local_5a8|0x9e3779b9,
k2_controller.crypto.14_100_200.2,k2_controller,crypto,14_100_200,100_200,0.1,20,0.9044,3,,local_5a8|local_5a8,
k2_controller.crypto.14_100_200.3,k2_controller,crypto,14_100_200,100_200,0.0,13,0.9649,3,,,
k2_controller.crypto.15_100_200.1,k2_controller,crypto,15_100_200,100_200,0.0,4,0.9406,3,,,
k2_controller.crypto.15_100_200.2,k2_controller,crypto,15_100_200,100_200,0.25,12,0.8204,3,,local_388|local_388|param_1,
k2_controller.crypto.15_100_200.3,k2_controller,crypto,15_100_200,100_200,0.048,21,0.9407,3,,local_388,
k2_controller.crypto.16_200_300.1,k2_controller,crypto,16_200_300,200_300,0.0,22,0.9751,3,,,
k2_controller.crypto.16_200_300.2,k2_controller,crypto,16_200_300,200_300,0.0,10,0.9594,2,,,
k2_controller.crypto.16_200_300.3,k2_controller,crypto,16_200_300,200_300,0.0,11,0.9614,2,,,
k2_controller.crypto.17_200_300.1,k2_controller,crypto,17_200_300,200_300,0.0,2,0.9298,1,,,
k2_controller.crypto.17_200_300.2,k2_controller,crypto,17_200_300,200_300,0.0,15,0.9678,1,,,
k2_controller.crypto.17_200_300.3,k2_controller,crypto,17_200_300,200_300,0.0,20,0.9734,1,,,
k2_controller.crypto.18_200_300.1,k2_controller,crypto,18_200_300,200_300,0.0,10,0.9594,1,,,
k2_controller.crypto.18_200_300.2,k2_controller,crypto,18_200_300,200_300,0.0,11,0.9614,1,,,
k2_controller.crypto.18_200_300.3,k2_controller,crypto,18_200_300,200_300,0.0,13,0.9649,1,,,
k2_controller.crypto.19_200_300.1,k2_controller,crypto,19_200_300,200_300,0.0,4,0.9406,3,,,
k2_controller.crypto.19_200_300.2,k2_controller,crypto,19_200_300,200_300,0.0,4,0.9406,2,,,
k2_controller.crypto.19_200_300.3,k2_controller,crypto,19_200_300,200_300,0.0,2,0.9298,2,,,
k2_controller.crypto.1_0_50.1,k2_controller,crypto,1_0_50,0_50,0.0,2,0.9298,1,,,
k2_controller.crypto.1_0_50.2,k2_controller,crypto,1_0_50,0_50,0.0,2,0.9298,1,,,
k2_controller.crypto.1_0_50.3,k2_controller,crypto,1_0_50,0_50,0.0,2,0.9298,1,,,
